,2004,2008,2012,2016,2020,2024
Россия,7,7,6,0,0,0
Беларусь,3,3,2,2,0,0
Турция,5,1,0,1,0,0
Китай,8,9,7,7,8,5
Грузия,1,0,0,2,2,1
Таиланд,4,1,2,4,0,3
Болгария,2,0,0,0,0,2
