,2004,2008,2012,2016,2020,2024
Россия,1,0,0,0,0,0
Беларусь,0,1,0,0,0,0
Турция,3,0,0,0,0,0
Китай,5,8,5,5,7,5
Грузия,0,0,0,1,1,1
Таиланд,2,1,0,2,0,0
Болгария,1,0,0,0,0,1
