Год,Золото,Серебро,Бронза,4,5,6,7,8,Пол
2024,0,0,0,1,0,0,0,0,М
2024,0,0,0,0,0,0,0,0,Ж
2020,0,0,0,0,0,0,0,0,М
2020,0,0,0,0,0,0,0,0,Ж
2016,0,1,0,0,0,0,0,0,М
2016,0,0,0,0,0,0,0,0,Ж
2012,0,0,0,0,1,1,0,1,М
2012,0,0,0,1,1,0,0,0,Ж
2008,0,0,0,0,0,0,0,0,М
2008,0,1,0,0,0,0,0,0,Ж
2004,2,0,2,0,0,1,0,0,М
2004,1,0,0,1,0,0,0,0,Ж
,,,,,,,,,
,,,,,,,,,

